('http://www.songlyrics.com/timbaland/apologize-lyrics/', '2008')
('http://www.songlyrics.com/usher/love-in-this-club-lyrics/', '2008')
('http://www.songlyrics.com/chris-brown/forever-lyrics/', '2008')
('http://www.songlyrics.com/lil-wayne/lollipop-lyrics/', '2008')
('http://www.songlyrics.com/sara-bareilles/love-song-lyrics/', '2008')
('http://www.songlyrics.com/natasha-bedingfield/pocketful-of-sunshine-lyrics/', '2008')
('http://www.songlyrics.com/t-i/whatever-you-like-lyrics/', '2008')
('http://www.songlyrics.com/ne-yo/closer-lyrics/', '2008')
('http://www.songlyrics.com/rihanna/take-a-bow-lyrics/', '2008')
('http://www.songlyrics.com/ray-j-yung-berg/sexy-can-i-lyrics/', '2008')
('http://www.songlyrics.com/coldplay/viva-la-vida-lyrics/', '2008')
('http://www.songlyrics.com/katy-perry/i-kissed-a-girl-lyrics/', '2008')
('http://www.songlyrics.com/chris-brown/kiss-kiss-lyrics/', '2008')
('http://www.songlyrics.com/rihanna/disturbia-lyrics/', '2008')
('http://www.songlyrics.com/rihanna/don-t-stop-the-music-lyrics/', '2008')
('http://www.songlyrics.com/colbie-caillat/bubbly-lyrics/', '2008')
('http://www.songlyrics.com/mariah-carey/touch-my-body-lyrics/', '2008')
('http://www.songlyrics.com/madonna-feat-justin-timberlake-timbaland/4-minutes-lyrics/', '2008')
('http://www.songlyrics.com/fergie/clumsy-lyrics/', '2008')
('http://www.songlyrics.com/kardinal-offishall/dangerous-lyrics/', '2008')
('http://www.songlyrics.com/jordin-sparks/tattoo-lyrics/', '2008')
('http://www.songlyrics.com/pink/so-what-lyrics/', '2008')
('http://www.songlyrics.com/finger-eleven/paralyzer-lyrics/', '2008')
('http://www.songlyrics.com/jesse-mccartney/leavin-lyrics/', '2008')
('http://www.songlyrics.com/jason-mraz/i-m-yours-lyrics/', '2008')
('http://www.songlyrics.com/metro-station/shake-it-lyrics/', '2008')
('http://www.songlyrics.com/sean-kingston/take-you-there-lyrics/', '2008')
('http://www.songlyrics.com/katy-perry/hot-n-cold-lyrics/', '2008')
('http://www.songlyrics.com/plies/bust-it-baby-part-2-lyrics/', '2008')
('http://www.songlyrics.com/lil-wayne/got-money-lyrics/', '2008')
('http://www.songlyrics.com/estelle-feat-kanye-west/american-boy-lyrics/', '2008')
('http://www.songlyrics.com/miley-cyrus/see-you-again-lyrics/', '2008')
('http://www.songlyrics.com/onerepublic/stop-stare-lyrics/', '2008')
('http://www.songlyrics.com/m-i-a/paper-planes-lyrics/', '2008')
('http://www.songlyrics.com/t-i/live-your-life-ep-lyrics/', '2008')
('http://www.songlyrics.com/danity-kane/damaged-lyrics/', '2008')
('http://www.songlyrics.com/taylor-swift/our-song-lyrics/', '2008')
('http://www.songlyrics.com/alicia-keys/like-you-ll-never-see-me-again-lyrics/', '2008')
('http://www.songlyrics.com/webbie-lil-phat-lil-boosie/independent-lyrics/', '2008')
('http://www.songlyrics.com/buckcherry/sorry-lyrics/', '2008')
('http://www.songlyrics.com/snoop-dogg/sensual-seduction-lyrics/', '2008')
('http://www.songlyrics.com/pussycat-dolls/when-i-grow-up-lyrics/', '2008')
('http://www.songlyrics.com/t-pain/can-t-believe-it-lyrics/', '2008')
('http://www.songlyrics.com/lil-wayne/a-milli-lyrics/', '2008')
('http://www.songlyrics.com/taylor-swift/teardrops-on-my-guitar-lyrics/', '2008')
('http://www.songlyrics.com/soulja-boy/tell-em-lyrics/', '2008')
('http://www.songlyrics.com/linkin-park/shadow-of-the-day-lyrics/', '2008')
('http://www.songlyrics.com/ne-yo/miss-independent-lyrics/', '2008')
('http://www.songlyrics.com/secondhand-serenade/fall-for-you-lyrics/', '2008')
('http://www.songlyrics.com/3-doors-down/it-s-not-my-time-lyrics/', '2008')
